experiment,run,generation,genome_size_mean,genome_size_max,displacement_mean,displacement_max,num_voxels_mean,num_voxels_max,bone_count_mean,bone_count_max,bone_prop_mean,bone_prop_max,fat_count_mean,fat_count_max,fat_prop_mean,fat_prop_max,fat2_count_mean,fat2_count_max,fat2_prop_mean,fat2_prop_max,phase_muscle_count_mean,phase_muscle_count_max,phase_muscle_prop_mean,phase_muscle_prop_max,offphase_muscle_count_mean,offphase_muscle_count_max,offphase_muscle_prop_mean,offphase_muscle_prop_max,aspect_ratio_mean,aspect_ratio_max,material_heterogeneity_mean,material_heterogeneity_max,max_limb_length_mean,max_limb_length_max,symmetry_score_mean,symmetry_score_max,uniqueness_mean,uniqueness_max,fitness_mean,fitness_max,age_mean,age_max,dominated_disp_nov_mean,dominated_disp_nov_max,novelty_mean,novelty_max,novelty_weighted_mean,novelty_weighted_max
custom,2,36,312.57,332.0,34.0744925560107,53.01097259445329,10.45,15.0,0.81,5.0,0.0768,0.5,0.28,8.0,0.031700000000000006,0.67,,,,,7.23,11.0,0.6812,0.8,2.13,3.0,0.21109999999999998,0.67,1.0,1.0,0.1512,0.2,1.53,2.0,0.6,0.84,0.46462322077473595,1.006610757368333,18.96696540489406,27.565705749115715,4.92,23.0,14.24,67.0,0.10593517055734993,0.8818181753158569,3.0066438076076207,19.240267049820158
custom,2,37,312.54,332.0,34.24709999213935,53.01097259445329,10.47,15.0,0.81,5.0,0.0736,0.5,0.26,5.0,0.0285,0.5,,,,,7.25,11.0,0.6894,0.8,2.15,5.0,0.2089,0.67,1.0,1.0,0.1508,0.2,1.57,2.0,0.5952000000000001,0.84,0.4565301113028386,1.1065106610561155,19.078214428177727,27.565705749115715,5.12,22.0,11.28,63.0,0.10681286999955773,0.9090908765792847,3.1823674588076485,17.411210820168076
custom,2,38,313.22,332.0,37.38582610733186,53.87203879464447,10.95,17.0,0.92,6.0,0.0837,0.67,0.37,8.0,0.034800000000000005,0.78,,,,,7.5,11.0,0.6870999999999999,0.8,2.16,5.0,0.1949,0.3,1.0,1.0,0.1548,0.2,1.69,3.0,0.5672,0.84,0.3881831599443008,1.0357627765381776,20.37544871285771,28.013460173215122,4.95,23.0,7.32,61.0,0.11802480535581708,0.7400000095367432,3.7039320957300963,16.88359749230276
custom,2,39,313.37,332.0,37.09717845630211,53.87203879464447,10.41,16.0,0.85,4.0,0.0786,0.36,0.23,5.0,0.028300000000000002,0.83,,,,,7.21,11.0,0.6848000000000001,0.8,2.12,6.0,0.20879999999999999,0.5,1.0,1.0,0.1524,0.2,1.62,3.0,0.5784,0.92,0.3871402123409699,1.1571872151417606,20.127844267690964,28.013460173215122,4.47,21.0,8.02,66.0,0.09979598036035896,0.8636363744735718,3.14590068083777,17.86847392365388
custom,2,40,313.83,332.0,38.673156100908656,53.87203879464447,10.91,16.0,1.12,10.0,0.09849999999999999,0.71,0.31,10.0,0.0254,0.62,,,,,7.36,11.0,0.6789000000000001,0.79,2.12,5.0,0.19760000000000003,0.5,1.0,1.0,0.1568,0.2,1.66,3.0,0.5624,0.92,0.3437430243718122,1.156069624819625,20.588292160219773,28.013460173215122,4.46,22.0,11.48,62.0,0.10617704728618264,0.8636363744735718,3.3975861984342055,18.06193227106146
custom,2,41,314.98,332.0,40.429596923371925,53.87203879464447,10.65,16.0,0.92,4.0,0.08869999999999999,0.57,0.15,4.0,0.0187,0.75,,,,,7.43,11.0,0.6886,0.79,2.15,4.0,0.2045,0.5,1.0,1.0,0.1528,0.2,1.71,2.0,0.5624,0.92,0.2918909409894258,0.9799977799977799,21.478837751884935,28.013460173215122,4.54,23.0,11.0,60.0,0.09234390612691641,0.7444444298744202,3.2689257762968738,16.918772604492517
custom,2,42,314.77,332.0,40.502549920819455,53.87203879464447,10.37,14.0,0.85,4.0,0.0801,0.43,0.18,5.0,0.0212,0.83,,,,,7.2,11.0,0.6851999999999999,0.79,2.14,3.0,0.21359999999999998,0.5,1.0,1.0,0.1504,0.2,1.68,2.0,0.5696,0.92,0.31418324660748903,1.0516267682934348,21.524403306688267,28.013460173215122,4.73,24.0,12.46,56.0,0.09068046789616346,0.7400000095367432,3.33420713099466,18.06193227106146
custom,2,43,314.7,332.0,40.06833700624202,53.87203879464447,10.58,17.0,0.89,5.0,0.0851,0.45,0.18,7.0,0.0168,0.5,,,,,7.33,11.0,0.687,0.79,2.18,3.0,0.2109,0.5,1.0,1.0,0.1516,0.2,1.71,3.0,0.5664,0.92,0.31868324772870227,1.0428795044659571,21.285157724735544,28.013460173215122,4.93,25.0,11.72,59.0,0.1025106700323522,0.9090908765792847,3.2532444966594953,16.883595584448326
custom,2,44,314.76,326.0,39.93282818109272,53.87203879464447,10.37,18.0,0.74,5.0,0.0692,0.62,0.13,7.0,0.011899999999999999,0.64,,,,,7.28,11.0,0.6928,0.8,2.22,3.0,0.2263,0.67,1.0,1.0,0.1472,0.2,1.69,3.0,0.5704,0.92,0.3007718804764259,1.0687078353745019,21.233146061761225,28.013460173215122,4.5,19.0,12.63,54.0,0.09354924784041942,1.063636302947998,3.122698825314217,12.024938981156536
custom,2,45,315.13,326.0,39.484744520971375,53.87203879464447,10.74,18.0,0.78,7.0,0.0669,0.6,0.24,7.0,0.0217,0.64,,,,,7.42,11.0,0.6947,0.8,2.3,3.0,0.2165,0.43,1.0,1.0,0.1476,0.2,1.78,3.0,0.5504,0.92,0.3159854993491357,1.0633814558056982,20.975420121678134,28.013460173215122,4.19,19.0,11.98,46.0,0.1103961511515081,1.0909091234207153,3.3574261955241718,14.282036650007306
custom,2,46,315.53,327.0,39.87523782061347,53.87203879464447,10.69,15.0,0.74,6.0,0.0667,0.6,0.18,7.0,0.0184,0.64,,,,,7.39,11.0,0.6887000000000001,0.8,2.38,4.0,0.22650000000000003,0.67,1.0,1.0,0.1452,0.2,1.69,3.0,0.552,0.84,0.3154538435750557,1.0671893762802853,21.0889903239573,28.013460173215122,4.29,20.0,15.38,44.0,0.10845920240506529,1.0909091234207153,3.161125366737155,12.691855717964422
custom,2,47,314.97,326.0,36.362482436479155,53.87203879464447,10.26,20.0,0.66,6.0,0.060899999999999996,0.6,0.15,3.0,0.0141,0.29,,,,,7.07,15.0,0.6792999999999999,0.8,2.38,4.0,0.24580000000000002,0.67,1.0,1.0,0.1432,0.2,1.61,3.0,0.5696,0.92,0.43221835083517696,1.3452210977928682,19.389605846663656,28.013460173215122,4.12,15.0,14.64,35.0,0.12791539726778864,0.838888943195343,3.361711793608403,12.353907921268997
custom,2,48,315.29,330.0,40.34178053195246,53.87203879464447,10.6,19.0,0.54,2.0,0.0483,0.25,0.16,5.0,0.0166,0.43,,,,,7.46,15.0,0.6972,0.8,2.44,4.0,0.2383,0.67,1.0,1.0,0.142,0.2,1.63,3.0,0.5664,0.92,0.3005716956137024,1.3383007355249126,21.420588732049396,28.013460173215122,4.31,16.0,16.94,38.0,0.07939159445464611,0.8053571581840515,3.1775546116028504,12.691855717964422
custom,2,49,316.05,330.0,39.19778032716868,53.87203879464447,10.7,22.0,0.66,5.0,0.0592,0.45,0.31,9.0,0.0277,0.64,,,,,7.3,13.0,0.6805,0.8,2.43,7.0,0.2328,0.67,1.0,1.0,0.1432,0.2,1.69,4.0,0.5624,0.92,0.3437816627816628,1.3437407289680017,20.843490714232217,28.013460173215122,4.46,17.0,14.91,31.0,0.11274017006158829,1.0272727012634277,3.1431385531388987,12.691855717964422
custom,2,50,315.82,330.0,36.13000065909088,53.87203879464447,10.34,22.0,0.79,7.0,0.07629999999999999,0.7,0.47,11.0,0.0451,0.78,,,,,6.73,13.0,0.6491,0.8,2.35,7.0,0.22970000000000002,0.5,1.0,1.0,0.14679999999999999,0.2,1.68,4.0,0.5720000000000001,0.92,0.4413629426129426,1.136292747656384,19.18520543432459,28.013460173215122,4.18,17.0,11.49,29.0,0.15874340320006014,1.0727272033691406,2.976450001803986,12.091057824538337
custom,2,51,316.03,327.0,37.8436975587741,53.87203879464447,10.43,22.0,0.53,4.0,0.051100000000000007,0.31,0.25,7.0,0.0263,0.78,,,,,7.18,13.0,0.6873,0.8,2.47,7.0,0.23560000000000003,0.43,1.0,1.0,0.14279999999999998,0.2,1.66,4.0,0.5656,0.92,0.3856079991837567,1.0951319724046997,20.155482639687403,28.013460173215122,4.49,18.0,10.44,26.0,0.13478907668963075,0.8374999761581421,3.300662840373444,12.091057824538337
custom,2,52,315.96,326.0,39.093498074418655,53.87203879464447,10.56,22.0,0.58,5.0,0.052199999999999996,0.4,0.15,3.0,0.0178,0.38,,,,,7.3,13.0,0.6918,0.8,2.53,7.0,0.2386,0.43,1.0,1.0,0.1416,0.2,1.72,4.0,0.5608,0.84,0.3339479863570773,1.0051640278913005,20.863529120808685,28.013460173215122,4.94,19.0,13.59,28.0,0.10652431704103947,0.6666666269302368,3.148838701785462,12.691855717964422
custom,2,53,315.47,326.0,40.46729835649576,53.87203879464447,10.59,22.0,0.51,6.0,0.0506,0.62,0.25,8.0,0.027200000000000002,0.8,,,,,7.3,13.0,0.6872,0.8,2.53,7.0,0.2352,0.43,1.0,1.0,0.1392,0.2,1.71,4.0,0.5512,0.84,0.30773739447981874,1.1092363024181207,21.4406561805685,28.013460173215122,4.98,20.0,13.79,24.0,0.09318174628540873,0.7875000238418579,3.0968511744745815,11.30251129443281
custom,2,54,315.34,326.0,43.06485252226252,53.87203879464447,10.71,13.0,0.43,5.0,0.0408,0.43,0.16,8.0,0.0202,0.8,,,,,7.49,10.0,0.6945999999999999,0.8,2.63,3.0,0.24470000000000003,0.43,1.0,1.0,0.136,0.2,1.69,2.0,0.5488000000000001,0.92,0.2279947518811155,1.1126421558239743,22.740989986216817,28.013460173215122,4.42,20.0,13.15,27.0,0.06786763702519238,0.6666666865348816,2.972978101920891,11.565360137801319
custom,2,55,315.4,326.0,40.734285662970144,53.87203879464447,10.09,13.0,0.4,6.0,0.0405,0.67,0.14,4.0,0.023400000000000004,0.8,,,,,6.97,9.0,0.6764,0.8,2.58,3.0,0.2599,0.67,1.0,1.0,0.1344,0.2,1.59,2.0,0.5744,0.84,0.33264409440167014,1.1761581852490945,21.684784224641298,28.013460173215122,4.55,21.0,11.27,20.0,0.08664610153064131,0.8600000143051147,2.8624099201081292,11.30251129443281
custom,2,56,315.96,331.0,41.01820138381152,53.87203879464447,9.99,13.0,0.33,6.0,0.0331,0.67,0.12,4.0,0.013300000000000001,0.33,,,,,6.9,9.0,0.6781999999999999,0.8,2.64,3.0,0.2755,0.67,1.0,1.0,0.1304,0.2,1.68,3.0,0.5744,0.92,0.33367342814312506,1.086269944982066,21.77355554255256,28.013460173215122,4.54,17.0,4.53,25.0,0.09495015799999237,0.7727272510528564,3.1245290566384996,18.217795011221398
