experiment,run,generation,genome_size_mean,genome_size_max,displacement_mean,displacement_max,num_voxels_mean,num_voxels_max,bone_count_mean,bone_count_max,bone_prop_mean,bone_prop_max,fat_count_mean,fat_count_max,fat_prop_mean,fat_prop_max,fat2_count_mean,fat2_count_max,fat2_prop_mean,fat2_prop_max,phase_muscle_count_mean,phase_muscle_count_max,phase_muscle_prop_mean,phase_muscle_prop_max,offphase_muscle_count_mean,offphase_muscle_count_max,offphase_muscle_prop_mean,offphase_muscle_prop_max,aspect_ratio_mean,aspect_ratio_max,material_heterogeneity_mean,material_heterogeneity_max,max_limb_length_mean,max_limb_length_max,symmetry_score_mean,symmetry_score_max,uniqueness_mean,uniqueness_max,fitness_mean,fitness_max,age_mean,age_max,dominated_disp_nov_mean,dominated_disp_nov_max,novelty_mean,novelty_max,novelty_weighted_mean,novelty_weighted_max
custom_controller,1,23,308.88,325.0,31.287466175056217,39.52359719667321,13.23,14.0,1.94,5.0,0.1446,0.36,1.73,2.0,0.12580000000000002,0.25,,,,,7.54,10.0,0.5679,0.78,2.02,3.0,0.15350000000000003,0.38,1.0,1.0,0.196,0.2,2.01,3.0,0.5456,0.92,0.1819121543439725,1.1872294372294372,31.287466175056217,39.52359719667321,3.34,17.0,9.97,95.0,0.06505404211580754,1.25,2.7749457672137585,28.33415635456441
custom_controller,1,24,310.1,325.0,31.257060821274603,39.52359719667321,12.98,15.0,1.93,4.0,0.14800000000000002,0.33,1.76,3.0,0.13110000000000002,0.25,,,,,7.33,8.0,0.5598,0.78,1.96,3.0,0.1531,0.33,1.0,1.0,0.19720000000000001,0.2,1.96,2.0,0.5544,0.84,0.2036147107662259,1.216235279871643,31.257060821274603,39.52359719667321,3.61,18.0,12.76,94.0,0.05128245510160923,0.5909091234207153,2.557575811939593,17.258638180694824
custom_controller,1,25,308.95,323.0,29.58894925941349,39.52359719667321,12.83,15.0,1.94,3.0,0.1496,0.33,1.78,5.0,0.1383,0.5,,,,,7.15,9.0,0.5506,0.8,1.96,3.0,0.1542,0.25,1.0,1.0,0.196,0.2,1.94,3.0,0.56,0.92,0.27989641783581176,1.1948358880177057,29.58894925941349,39.52359719667321,3.99,19.0,10.96,87.0,0.0953102695941925,0.8255952596664429,2.7345267771694837,18.18085456912228
custom_controller,1,26,310.18,326.0,31.08698257745489,39.52359719667321,12.78,15.0,1.88,3.0,0.14270000000000002,0.33,1.69,2.0,0.12760000000000002,0.25,,,,,7.28,9.0,0.5693,0.8,1.93,3.0,0.153,0.33,1.0,1.0,0.19519999999999998,0.2,1.95,2.0,0.5648000000000001,0.92,0.24085506861264439,1.2105764605764602,31.08698257745489,39.52359719667321,4.23,20.0,14.77,90.0,0.059278931692242624,0.6666666865348816,2.7206665011925457,15.65663100831807
custom_controller,1,27,311.01,334.0,31.001383483968056,39.52359719667321,12.84,15.0,1.94,3.0,0.1496,0.29,1.76,6.0,0.1343,0.46,,,,,7.21,9.0,0.5586,0.78,1.93,3.0,0.1507,0.25,1.0,1.0,0.19720000000000001,0.2,2.0,3.0,0.5616,0.76,0.24377226168892835,1.2141385550476456,31.001383483968056,39.52359719667321,4.49,21.0,15.39,88.0,0.07011000292375684,0.6654165983200073,2.8874408015369455,15.729919884792858
custom_controller,1,28,311.43,334.0,30.49114108117088,39.52359719667321,12.63,15.0,1.92,5.0,0.15170000000000003,0.33,1.74,7.0,0.13440000000000002,0.5,,,,,7.03,9.0,0.5535,0.78,1.94,5.0,0.1542,0.5,1.0,1.0,0.19640000000000002,0.2,1.98,3.0,0.5656,0.76,0.264926011698739,0.9303562318713835,30.49114108117088,39.52359719667321,4.57,22.0,15.79,86.0,0.06903341757133603,0.7214285731315613,2.625162643007784,14.938853167201984
custom_controller,1,29,311.72,325.0,28.131410301206394,39.52359719667321,12.39,17.0,1.96,5.0,0.1585,0.4,1.81,10.0,0.1398,0.62,,,,,6.71,12.0,0.5374,0.75,1.91,4.0,0.1585,0.33,1.0,1.0,0.19400000000000003,0.2,1.94,4.0,0.5752,0.84,0.36583279327954016,1.1269005858800871,28.131410301206394,39.52359719667321,4.68,23.0,14.85,77.0,0.11517960485070944,0.7758333086967468,2.811801811357388,14.054965240811729
custom_controller,1,30,312.08,325.0,29.750797976628583,39.52359719667321,12.49,17.0,2.03,5.0,0.168,0.5,1.71,10.0,0.1317,0.59,,,,,6.83,12.0,0.5379,0.75,1.92,3.0,0.1567,0.5,1.0,1.0,0.1968,0.2,1.96,4.0,0.5736,0.92,0.33323789693174727,0.9877284752284753,29.750797976628583,39.52359719667321,4.85,24.0,23.11,83.0,0.08540528923273087,0.7147058844566345,2.618891997669183,14.938853167201984
custom_controller,1,31,311.96,323.0,29.986234630758776,39.52359719667321,12.2,15.0,1.91,4.0,0.1584,0.4,1.68,5.0,0.1333,0.4,,,,,6.7,9.0,0.5438,0.75,1.91,3.0,0.1588,0.33,1.0,1.0,0.196,0.2,1.96,3.0,0.5920000000000001,1.0,0.34778685231715534,1.3328887442523807,29.986234630758776,39.52359719667321,5.13,25.0,21.17,78.0,0.07073435090482234,0.7902777791023254,2.46839685669562,11.317312246673303
custom_controller,1,32,312.11,324.0,29.366422751418664,39.52359719667321,12.29,24.0,1.95,7.0,0.15810000000000002,0.8,1.71,10.0,0.12960000000000002,0.42,,,,,6.66,9.0,0.5445,0.8,1.97,4.0,0.16269999999999998,0.29,1.0,1.0,0.1928,0.2,2.0,4.0,0.584,0.84,0.35211568818387,0.9278921415285054,29.366422751418664,39.52359719667321,4.8,26.0,20.03,75.0,0.08924594528973102,0.7333332896232605,2.6854344628784355,9.959234941126569
